key,type,title,author,year,journal,volume,pages,doi,arxiv,pmid,topic
kumar2019verified,inproceedings,Verified Uncertainty Calibration,"Kumar, Ananya and Liang, Percy and Ma, Tengyu",2019,Advances in Neural Information Processing Systems (NeurIPS),32,3792--3803,,1909.10155,,uncertainty-conformal
vaicenavicius2019evaluating,inproceedings,Evaluating Model Calibration in Classification,"Vaicenavicius, Juozas and Widmann, David and Andersson, Carl and Lindsten, Fredrik and Roll, Thomas and Sch{\""o}n, Thomas",2019,Proceedings of the 22nd International Conference on Artificial Intelligence and Statistics (AISTATS),,3452--3460,,1902.06977,,uncertainty-conformal
naeini2015bbq,inproceedings,Obtaining Well Calibrated Probabilities Using Bayesian Binning into Quantiles,"Naeini, Mahdi Pakdaman and Cooper, Gregory F. and Hauskrecht, Milos",2015,Proceedings of the 29th AAAI Conference on Artificial Intelligence (AAAI),,2901--2907,10.1609/aaai.v29i1.9602,,,other
niculescu2005predicting,inproceedings,Predicting Good Probabilities with Supervised Learning,"Niculescu-Mizil, Alexandru and Caruana, Rich",2005,Proceedings of the 22nd International Conference on Machine Learning (ICML),,625--632,10.1145/1102351.1102430,,,other
vovk2005algorithmic,book,Algorithmic Learning in a Random World,"Vovk, Vladimir and Gammerman, Alexander and Shafer, Glenn",2005,,,,10.1007/b106715,,,other
shafer2008tutorial,article,A Tutorial on Conformal Prediction,"Shafer, Glenn and Vovk, Vladimir",2008,Journal of Machine Learning Research,9,371--421,,,,uncertainty-conformal
angelopoulos2023gentle,article,Conformal Prediction: A Gentle Introduction,"Angelopoulos, Anastasios N. and Bates, Stephen",2023,Foundations and Trends in Machine Learning,16,494--591,10.1561/2200000101,,,uncertainty-conformal
fontana2023conformal,article,Conformal Prediction: A Unified Review of Theory and New Challenges,"Fontana, Matteo and Zeni, Gianluca and Vantini, Simone",2023,Bernoulli,29,1--23,10.3150/21-BEJ1447,,,uncertainty-conformal
lei2018distribution,article,Distribution-Free Predictive Inference for Regression,"Lei, Jing and G'Sell, Max and Rinaldo, Alessandro and Tibshirani, Ryan J. and Wasserman, Larry",2018,Journal of the American Statistical Association,113,1094--1111,,1604.04173,,other
barber2023beyond,article,Conformal Prediction Beyond Exchangeability,"Barber, Rina Foygel and Cand{\`e}s, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",2023,The Annals of Statistics,51,816--845,,2202.13415,,uncertainty-conformal
romano2019cqr,inproceedings,Conformalized Quantile Regression,"Romano, Yaniv and Patterson, Evan and Cand{\`e}s, Emmanuel",2019,Advances in Neural Information Processing Systems (NeurIPS),32,3543--3553,,1905.03222,,uncertainty-conformal
bates2021risk,article,"Distribution-Free, Risk-Controlling Prediction Sets","Bates, Stephen and Angelopoulos, Anastasios and Lei, Lihua and Malik, Jitendra and Jordan, Michael I.",2021,Journal of the American Statistical Association,116,1556--1570,,2101.02703,,other
romano2020aps,inproceedings,Classification with Valid and Adaptive Coverage,"Romano, Yaniv and Sesia, Matteo and Cand{\`e}s, Emmanuel",2020,Advances in Neural Information Processing Systems (NeurIPS),33,3581--3591,,2006.02544,,other
angelopoulos2021raps,inproceedings,Uncertainty Sets for Image Classifiers using Conformal Prediction,"Angelopoulos, Anastasios N. and Bates, Stephen and Malik, Jitendra and Jordan, Michael I.",2021,Proceedings of the 9th International Conference on Learning Representations (ICLR),,,,2009.14193,,uncertainty-conformal
olsson2022diagnostic,article,Estimating Diagnostic Uncertainty in Artificial Intelligence Assisted Pathology Using Conformal Prediction,"Olsson, Hans and Kartasalo, Kimmo and Mulliqi, Marco and others",2022,Nature Communications,13,7341,10.1038/s41467-022-34945-8,,,uncertainty-conformal
lu2022fair,inproceedings,Fair Conformal Predictors for Applications in Medical Imaging,"Lu, Charles and Lemay, Andr{\'e}anne and Chang, Ken and H{\""o}bel, Katharina and Kalpathy-Cramer, Jayashree",2022,Proceedings of the 36th AAAI Conference on Artificial Intelligence (AAAI),,12008--12016,10.1609/aaai.v36i11.21459,,,uncertainty-conformal
vazquez2022conformal,article,Conformal Prediction in Clinical Medical Sciences,"Vazquez, Jesus and Facelli, Julio C.",2022,Journal of Healthcare Informatics Research,6,241--252,10.1007/s41666-021-00113-8,,,uncertainty-conformal
lu2023federated,inproceedings,Federated Conformal Predictors for Distributed Uncertainty Quantification,"Lu, Charles and Yu, Yaodong and Karimireddy, Sai Praneeth and Jordan, Michael and Raskar, Ramesh",2023,Proceedings of the 40th International Conference on Machine Learning (ICML),,22942--22964,,2305.17564,,uncertainty-conformal
humbert2023oneshot,inproceedings,One-Shot Federated Conformal Prediction,"Humbert, Pierre and Le Bars, Batiste and Bellet, Aur{\'e}lien and Arlot, Julien",2023,Proceedings of the 40th International Conference on Machine Learning (ICML),,14153--14177,,2302.06322,,uncertainty-conformal
plassier2023conformal,inproceedings,Conformal Prediction for Federated Uncertainty Quantification Under Label Shift,"Plassier, Vincent and Makni, Mehdi and Rubashevskii, Aleksandr and Moulines, Eric and Panov, Maxim",2023,Proceedings of the 40th International Conference on Machine Learning (ICML),,,,2306.05131,,uncertainty-conformal
lu2022distributionfree,inproceedings,Distribution-Free Federated Learning with Conformal Predictions,"Lu, Charles and Kalpathy-Cramer, Jayashree",2022,"AAAI Workshop on Trustable, Verifiable and Auditable Federated Learning",,,,2110.07661,,uncertainty-conformal
kendall2017uncertainties,inproceedings,What Uncertainties Do We Need in Bayesian Deep Learning for Computer Vision?,"Kendall, Alex and Gal, Yarin",2017,Advances in Neural Information Processing Systems (NeurIPS),30,5574--5584,,1703.04977,,other
abdar2021review,article,"A Review of Uncertainty Quantification in Deep Learning: Techniques, Applications and Challenges","Abdar, Moloud and Pourpanah, Farhad and Hussain, Sadiq and others",2021,Information Fusion,76,243--297,10.1016/j.inffus.2021.05.008,,,uncertainty-conformal
gawlikowski2023survey,article,A Survey of Uncertainty in Deep Neural Networks,"Gawlikowski, Jakob and Tassi, Cedrique Rovile Njieutcheu and Ali, Mohsin and others",2023,Artificial Intelligence Review,56,1513--1589,,2107.03342,,uncertainty-conformal
hullermeier2021aleatoric,article,Aleatoric and Epistemic Uncertainty in Machine Learning: An Introduction to Concepts and Methods,"H{\""u}llermeier, Eyke and Waegeman, Willem",2021,Machine Learning,110,457--506,10.1007/s10994-021-05946-3,,,uncertainty-conformal
kompa2021second,article,Second Opinion Needed: Communicating Uncertainty in Medical Machine Learning,"Kompa, Paul and Snoek, Jasper and Beam, Jennifer L.",2021,npj Digital Medicine,4,4,10.1038/s41746-020-00367-3,,,uncertainty-conformal
mehrtash2021confidence,article,Confidence Calibration and Predictive Uncertainty Estimation for Deep Medical Image Segmentation,"Mehrtash, Alireza and Wells, William M. and Tempany, Clare M. and Abolmaesumi, Purang and Kapur, Tina",2020,IEEE Transactions on Medical Imaging,39,3868--3878,10.1109/TMI.2020.3006437,,,uncertainty-conformal
nair2020uncertainty,article,Exploring Uncertainty Measures in Deep Networks for Multiple Sclerosis Lesion Detection and Segmentation,"Nair, T. R. Gopalakrishnan and Precup, Doina and Arnold, Douglas L. and Arbel, Tal",2020,Medical Image Analysis,59,101557,10.1016/j.media.2019.101557,,,uncertainty-conformal
jungo2019assessing,inproceedings,Assessing Reliability and Challenges of Uncertainty Estimations for Medical Image Segmentation,"Jungo, Alain and Reyes, Mauricio",2019,Medical Image Computing and Computer Assisted Intervention (MICCAI),,48--56,,1907.03338,,uncertainty-conformal
brier1950verification,article,Verification of Forecasts Expressed in Terms of Probability,"Brier, Glenn W.",1950,Monthly Weather Review,78,1--3,10.1175/1520-0493(1950)078<0001:VOFEIT>2.0.CO;2,,,uncertainty-conformal
degroot1983comparison,article,The Comparison and Evaluation of Forecasters,"DeGroot, Morris H. and Fienberg, Stephen E.",1983,The Statistician,32,12--22,10.2307/2987588,,,other
gibbs2021adaptive,inproceedings,Adaptive Conformal Inference Under Distribution Shift,"Gibbs, Isaac and Cand{\`e}s, Emmanuel",2021,Advances in Neural Information Processing Systems (NeurIPS),34,1660--1672,,2106.00170,,uncertainty-conformal
barber2021jackknife,article,Predictive Inference with the Jackknife+,"Barber, Rina Foygel and Cand{\`e}s, Emmanuel J. and Ramdas, Aaditya and Tibshirani, Ryan J.",2021,The Annals of Statistics,49,486--507,,1905.02928,,other
tan2019efficientnet,inproceedings,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,"Tan, Mingxing and Le, Quoc V.",2019,Proceedings of the 36th International Conference on Machine Learning (ICML),,6105--6114,,1905.11946,,architecture-datasets
tan2021efficientnetv2,inproceedings,EfficientNetV2: Smaller Models and Faster Training,"Tan, Mingxing and Le, Quoc V.",2021,Proceedings of the 38th International Conference on Machine Learning (ICML),,10096--10106,,2104.00298,,architecture-datasets
woo2018cbam,inproceedings,CBAM: Convolutional Block Attention Module,"Woo, Sanghyun and Park, Jongchan and Lee, Joon-Young and Kweon, In So",2018,Proceedings of the European Conference on Computer Vision (ECCV),,3--19,10.1007/978-3-030-01234-2_1,,,architecture-datasets
hu2018senet,inproceedings,Squeeze-and-Excitation Networks,"Hu, Jie and Shen, Li and Albanie, Samuel and Sun, Gang and Wu, Enhua",2018,Proceedings of the IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),,7132--7141,10.1109/CVPR.2018.00745,,,other
guo2022attention,article,Attention Mechanisms in Computer Vision: A Survey,"Guo, Meng-Hao and Xu, Tian-Xing and Liu, Jiang-Jiang and Liu, Zheng-Ning and Jiang, Peng-Tao and Mu, Tai-Jiang and Zhang, Song-Hai and Martin, Ralph R. and Cheng, Ming-Ming and Hu, Shi-Min",2022,Computational Visual Media,8,331--368,10.1007/s41095-022-0271-y,,,architecture-datasets
cheng2015enhanced,article,Enhanced Performance of Brain Tumor Classification via Tumor Region Augmentation and Partition,"Cheng, Jun and Huang, Wei and Cao, Shuangliang and Yang, Ru and Yang, Wei and Yun, Zhaoqiang and Wang, Zhijian and Feng, Qianjin",2015,PLOS ONE,10,e0140381,10.1371/journal.pone.0140381,,,architecture-datasets
sultan2019multi,article,Multi-Classification of Brain Tumor Images Using Deep Neural Network,"Sultan, Hossam H. and Salem, Nancy M. and Al-Atabany, Walid",2019,IEEE Access,7,69215--69225,10.1109/ACCESS.2019.2919122,,,architecture-datasets
badza2020classification,article,Classification of Brain Tumors from MRI Images Using a Convolutional Neural Network,"Bad{\v{z}}a, Milica M. and Barjaktarovi{\'c}, Marko {\v{C}}.",2020,Applied Sciences,10,1999,10.3390/app10061999,,,architecture-datasets
deepak2019brain,article,Brain Tumor Classification using Deep CNN Features via Transfer Learning,"Deepak, S. and Ameer, P. M.",2019,Computers in Biology and Medicine,111,103345,10.1016/j.compbiomed.2019.103345,,,architecture-datasets
diazpernas2021deep,article,A Deep Learning Approach for Brain Tumor Classification and Segmentation Using a Multiscale Convolutional Neural Network,"D{\'i}az-Pernas, Francisco Javier and Mart{\'i}nez-Zarzuela, Mario and Ant{\'o}n-Rodr{\'i}guez, M{\'i}riam and Gonz{\'a}lez-Ortega, David",2021,Healthcare,9,153,10.3390/healthcare9020153,,,architecture-datasets
aldhabyani2020dataset,article,Dataset of Breast Ultrasound Images,"Al-Dhabyani, Walid and Gomaa, Mohammed and Khaled, Hussien and Fahmy, Aly",2020,Data in Brief,28,104863,10.1016/j.dib.2019.104863,,,architecture-datasets
ayana2022novel,article,A Novel Multistage Transfer Learning for Ultrasound Breast Cancer Image Classification,"Ayana, Gelan and Park, Jinhyung and Jeong, Jin-Woo and Choe, Se-woon",2022,Diagnostics,12,135,10.3390/diagnostics12010135,,,architecture-datasets
chen2023aau,article,AAU-Net: An Adaptive Attention U-Net for Breast Lesions Segmentation in Ultrasound Images,"Chen, Gongping and Dai, Yu and Zhang, Jianxun and Yap, Moi Hoon",2023,IEEE Transactions on Medical Imaging,42,1427--1437,10.1109/TMI.2022.3226268,,,architecture-datasets
wang2020covidnet,article,COVID-Net: A Tailored Deep Convolutional Neural Network Design for Detection of COVID-19 Cases from Chest X-Ray Images,"Wang, Linda and Wong, Alexander",2020,Scientific Reports,10,19549,10.1038/s41598-020-76550-z,,,architecture-datasets
pavlova2022covidnetcxr2,article,COVID-Net CXR-2: An Enhanced Deep Convolutional Neural Network Design for Detection of COVID-19 Cases From Chest X-ray Images,"Pavlova, Maya and Terhljan, Naomi and Chung, Audrey G. and others",2022,Frontiers in Medicine,9,861680,10.3389/fmed.2022.861680,,,architecture-datasets
chowdhury2020ai,article,Can AI Help in Screening Viral and COVID-19 Pneumonia?,"Chowdhury, Muhammad E. H. and Rahman, Tawsifur and Khandakar, Amith and others",2020,IEEE Access,8,132665--132676,10.1109/ACCESS.2020.3010287,,,architecture-datasets
rahman2021exploring,article,Exploring the Effect of Image Enhancement Techniques on COVID-19 Detection using Chest X-Ray Images,"Rahman, Tawsifur and Khandakar, Amith and Qiblawey, Yazan and others",2021,Computers in Biology and Medicine,132,104319,10.1016/j.compbiomed.2021.104319,,,architecture-datasets
marques2020automated,article,Automated Medical Diagnosis of COVID-19 through EfficientNet Convolutional Neural Network,"Marques, Gon{\c{c}}alo and Agarwal, Deevyankar and de la Torre D{\'i}ez, Isabel",2020,Applied Soft Computing,96,106691,10.1016/j.asoc.2020.106691,,,architecture-datasets
yang2021medmnist,inproceedings,MedMNIST Classification Decathlon: A Lightweight AutoML Benchmark for Medical Image Analysis,"Yang, Jiancheng and Shi, Rui and Ni, Bingbing",2021,IEEE 18th International Symposium on Biomedical Imaging (ISBI),,,10.1109/ISBI48211.2021.9434062,,,architecture-datasets
yang2023medmnistv2,article,MedMNIST v2 - A Large-Scale Lightweight Benchmark for 2D and 3D Biomedical Image Classification,"Yang, Jiancheng and Shi, Rui and Wei, Donglai and others",2023,Scientific Data,10,41,10.1038/s41597-022-01721-8,,,architecture-datasets
tajbakhsh2016convolutional,article,Convolutional Neural Networks for Medical Image Analysis: Full Training or Fine Tuning?,"Tajbakhsh, Nima and Shin, Jae Y. and Gurudu, Suryakanth R. and others",2016,IEEE Transactions on Medical Imaging,35,1299--1312,10.1109/TMI.2016.2535302,,,other
zhuang2021survey,article,A Comprehensive Survey on Transfer Learning,"Zhuang, Fuzhen and Qi, Zhiyuan and Duan, Keyu and others",2021,Proceedings of the IEEE,109,43--76,10.1109/JPROC.2020.3004555,,,architecture-datasets
yosinski2014transferable,inproceedings,How Transferable are Features in Deep Neural Networks?,"Yosinski, Jason and Clune, Jeff and Bengio, Yoshua and Lipson, Hod",2014,Advances in Neural Information Processing Systems (NeurIPS),27,3320--3328,,1411.1792,,other
litjens2017survey,article,A Survey on Deep Learning in Medical Image Analysis,"Litjens, Geert and Kooi, Thijs and Bejnordi, Babak Ehteshami and Setio, Arnaud Arindra Adiyoso and Ciompi, Francesco and Ghafoorian, Mohsen and van der Laak, Jeroen A. W. M. and van Ginneken, Bram and S{\'a}nchez, Clara I.",2017,Medical Image Analysis,42,60--88,10.1016/j.media.2017.07.005,,,other
